Model,Type,F1_Macro,Accuracy,CV_Mean,CV_Std,Training_Time
Voting_Soft,Ensemble,0.5962,0.6166,,,
Logistic_Regression,Individual,0.594,0.6104,0.5879,0.009,2.3259
Logistic_Regression_Tuned,Tuned,0.5931,0.6096,0.5877,,
Random_Forest_Tuned,Tuned,0.5925,0.6116,0.5805,,
SVM,Individual,0.5919,0.6143,0.5877,0.0105,825.6128
SVM_Tuned,Tuned,0.5919,0.6143,0.5877,,
Naive_Bayes,Individual,0.5902,0.6088,0.5897,0.0058,1.179
Gradient_Boosting_Tuned,Tuned,0.5862,0.6092,0.5613,,
Voting_Hard,Ensemble,0.5845,0.6163,,,
Random_Forest,Individual,0.582,0.6022,0.5741,0.0093,47.91
Decision_Tree,Individual,0.5729,0.5807,0.5444,0.0074,43.557
MLP,Individual,0.5722,0.5764,0.5613,0.007,69.7917
Gradient_Boosting,Individual,0.5237,0.5924,0.5133,0.0117,179.0616
KNN,Individual,0.4038,0.5658,0.3862,0.0068,2.734
